# 2023-05-18T17:50:50
geo lon (deg), geo lat (deg), alt (km), mag lon (deg), mag lat (deg)
175.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-180.0, -85.0, 500.0, -1.3491220474243164, -77.59484100341797
-175.0, -85.0, 500.0, -1.7998517751693726, -77.1917953491211
-170.0, -85.0, 500.0, -2.068704843521118, -76.7814712524414
-165.0, -85.0, 500.0, -2.1700937747955322, -76.36763000488281
-160.0, -85.0, 500.0, -2.1183786392211914, -75.95372772216797
-155.0, -85.0, 500.0, -1.927468180656433, -75.54295349121094
-150.0, -85.0, 500.0, -1.6105645895004272, -75.13819885253906
-145.0, -85.0, 500.0, -1.1800211668014526, -74.74214172363281
-140.0, -85.0, 500.0, -0.6472751498222351, -74.35720825195312
-135.0, -85.0, 500.0, -0.02283402532339096, -73.98562622070312
-130.0, -85.0, 500.0, 0.6837020516395569, -73.6294174194336
-125.0, -85.0, 500.0, 1.4635967016220093, -73.29041290283203
-120.0, -85.0, 500.0, 2.30892014503479, -72.97029113769531
-115.0, -85.0, 500.0, 3.212484836578369, -72.67053985595703
-110.0, -85.0, 500.0, 4.1677775382995605, -72.39249420166016
-105.0, -85.0, 500.0, 5.168890476226807, -72.13733673095703
-100.0, -85.0, 500.0, 6.21045446395874, -71.90607452392578
-95.0, -85.0, 500.0, 7.287570476531982, -71.6995849609375
-90.0, -85.0, 500.0, 8.395746231079102, -71.51858520507812
-85.0, -85.0, 500.0, 9.530830383300781, -71.36363983154297
-80.0, -85.0, 500.0, 10.688953399658203, -71.23517608642578
-75.0, -85.0, 500.0, 11.866469383239746, -71.13346862792969
-70.0, -85.0, 500.0, 13.059896469116211, -71.05867004394531
-65.0, -85.0, 500.0, 14.265863418579102, -71.01080322265625
-60.0, -85.0, 500.0, 15.481057167053223, -70.9897689819336
-55.0, -85.0, 500.0, 16.70217514038086, -70.9953384399414
-50.0, -85.0, 500.0, 17.925878524780273, -71.02721405029297
-45.0, -85.0, 500.0, 19.14874839782715, -71.08499145507812
-40.0, -85.0, 500.0, 20.36724853515625, -71.16817474365234
-35.0, -85.0, 500.0, 21.577682495117188, -71.27621459960938
-30.0, -85.0, 500.0, 22.776165008544922, -71.40850067138672
-25.0, -85.0, 500.0, 23.958593368530273, -71.56437683105469
-20.0, -85.0, 500.0, 25.120603561401367, -71.74311828613281
-15.0, -85.0, 500.0, 26.257558822631836, -71.9439926147461
-10.0, -85.0, 500.0, 27.364503860473633, -72.16619873046875
-5.0, -85.0, 500.0, 28.43614387512207, -72.40892791748047
0.0, -85.0, 500.0, 29.466808319091797, -72.67129516601562
5.0, -85.0, 500.0, 30.450410842895508, -72.95238494873047
10.0, -85.0, 500.0, 31.380416870117188, -73.25121307373047
15.0, -85.0, 500.0, 32.24978256225586, -73.56671905517578
20.0, -85.0, 500.0, 33.050926208496094, -73.89775085449219
25.0, -85.0, 500.0, 33.77565383911133, -74.2430419921875
30.0, -85.0, 500.0, 34.41510772705078, -74.6011962890625
35.0, -85.0, 500.0, 34.959720611572266, -74.97064208984375
40.0, -85.0, 500.0, 35.39916229248047, -75.34964752197266
45.0, -85.0, 500.0, 35.72230911254883, -75.73624420166016
50.0, -85.0, 500.0, 35.917240142822266, -76.12822723388672
55.0, -85.0, 500.0, 35.971282958984375, -76.52312469482422
60.0, -85.0, 500.0, 35.87114334106445, -76.91815948486328
65.0, -85.0, 500.0, 35.60309600830078, -77.31022644042969
70.0, -85.0, 500.0, 35.15337371826172, -77.69588470458984
75.0, -85.0, 500.0, 34.50869369506836, -78.07131958007812
