#geo lon (deg), geo lat (deg), maglat (deg)
-100.000000, -70.000000, -47.859010
-100.000000, -60.000000, -41.015012
-100.000000, -50.000000, -34.739898
-100.000000, -40.000000, -28.238816
-100.000000, -30.000000, -20.432662
-100.000000, -20.000000, -11.333747
-100.000000, -10.000000, -1.569067
-100.000000, 0.000000, 8.425952
-100.000000, 10.000000, 18.539961
-100.000000, 20.000000, 28.785743
-100.000000, 30.000000, 39.154027
-100.000000, 40.000000, 49.765265
-100.000000, 50.000000, 60.853848
-100.000000, 60.000000, 71.887238
-100.000000, 70.000000, 81.050880
-100.000000, 80.000000, 86.336758
-100.000000, 90.000000, 86.327187
-90.000000, -90.000000, -57.494708
-90.000000, -80.000000, -52.620284
-90.000000, -70.000000, -45.605820
-90.000000, -60.000000, -38.323473
-90.000000, -50.000000, -31.933269
-90.000000, -40.000000, -25.663312
-90.000000, -30.000000, -18.162265
-90.000000, -20.000000, -9.233942
-90.000000, -10.000000, 0.408097
-90.000000, 0.000000, 10.196513
-90.000000, 10.000000, 19.971718
-90.000000, 20.000000, 29.821318
-90.000000, 30.000000, 39.924582
-90.000000, 40.000000, 50.465837
-90.000000, 50.000000, 61.458475
-90.000000, 60.000000, 72.158058
-90.000000, 70.000000, 80.706713
-90.000000, 80.000000, 85.300705
-90.000000, 90.000000, 86.327004
-80.000000, -90.000000, -57.494534
-80.000000, -80.000000, -51.350413
-80.000000, -70.000000, -43.821762
-80.000000, -60.000000, -36.351763
-80.000000, -50.000000, -29.937508
-80.000000, -40.000000, -23.806031
-80.000000, -30.000000, -16.518849
-80.000000, -20.000000, -7.829341
-80.000000, -10.000000, 1.505299
-80.000000, 0.000000, 10.898000
-80.000000, 10.000000, 20.186846
-80.000000, 20.000000, 29.481005
-80.000000, 30.000000, 39.098200
-80.000000, 40.000000, 49.362312
-80.000000, 50.000000, 60.207803
-80.000000, 60.000000, 70.747949
-80.000000, 70.000000, 79.142480
-80.000000, 80.000000, 83.960796
-80.000000, 90.000000, 86.326821
-70.000000, -90.000000, -57.494377
-70.000000, -80.000000, -50.287182
-70.000000, -70.000000, -42.557018
-70.000000, -60.000000, -35.312399
-70.000000, -50.000000, -29.256658
-70.000000, -40.000000, -23.508277
-70.000000, -30.000000, -16.635437
-70.000000, -20.000000, -8.400608
-70.000000, -10.000000, 0.504910
-70.000000, 0.000000, 9.536424
-70.000000, 10.000000, 18.486620
-70.000000, 20.000000, 27.402702
-70.000000, 30.000000, 36.660082
-70.000000, 40.000000, 46.713738
-70.000000, 50.000000, 57.534252
-70.000000, 60.000000, 68.204617
-70.000000, 70.000000, 76.938436
-70.000000, 80.000000, 82.537133
-70.000000, 90.000000, 86.326643
-60.000000, -90.000000, -57.494240
-60.000000, -80.000000, -49.433186
-60.000000, -70.000000, -41.793341
-60.000000, -60.000000, -35.249630
-60.000000, -50.000000, -30.137365
-60.000000, -40.000000, -25.270890
-60.000000, -30.000000, -19.159394
-60.000000, -20.000000, -11.544113
-60.000000, -10.000000, -2.993167
-60.000000, 0.000000, 5.914428
-60.000000, 10.000000, 14.869269
-60.000000, 20.000000, 23.864608
-60.000000, 30.000000, 33.229517
-60.000000, 40.000000, 43.392571
-60.000000, 50.000000, 54.360569
-60.000000, 60.000000, 65.310986
-60.000000, 70.000000, 74.596928
-60.000000, 80.000000, 81.151861
-60.000000, 90.000000, 86.326476
-50.000000, -90.000000, -57.494129
-50.000000, -80.000000, -48.780949
-50.000000, -70.000000, -41.443434
-50.000000, -60.000000, -35.993051
-50.000000, -50.000000, -32.399730
-50.000000, -40.000000, -28.895073
-50.000000, -30.000000, -23.746244
-50.000000, -20.000000, -16.734997
-50.000000, -10.000000, -8.374027
-50.000000, 0.000000, 0.674817
-50.000000, 10.000000, 10.018227
-50.000000, 20.000000, 19.610448
-50.000000, 30.000000, 29.606721
-50.000000, 40.000000, 40.227286
-50.000000, 50.000000, 51.455823
-50.000000, 60.000000, 62.647141
-50.000000, 70.000000, 72.424558
-50.000000, 80.000000, 79.880202
-50.000000, 90.000000, 86.326324
-40.000000, -90.000000, -57.494046
-40.000000, -80.000000, -48.317527
-40.000000, -70.000000, -41.373415
-40.000000, -60.000000, -37.184516
-40.000000, -50.000000, -35.455256
-40.000000, -40.000000, -33.602199
-40.000000, -30.000000, -29.440794
-40.000000, -20.000000, -22.961324
-40.000000, -10.000000, -14.641363
-40.000000, 0.000000, -5.115128
-40.000000, 10.000000, 5.031838
-40.000000, 20.000000, 15.565031
-40.000000, 30.000000, 26.443096
-40.000000, 40.000000, 37.681435
-40.000000, 50.000000, 49.198495
-40.000000, 60.000000, 60.509481
-40.000000, 70.000000, 70.586723
-40.000000, 80.000000, 78.772551
-40.000000, 90.000000, 86.326192
-30.000000, -90.000000, -57.493995
-30.000000, -80.000000, -48.030318
-30.000000, -70.000000, -41.445063
-30.000000, -60.000000, -38.394004
-30.000000, -50.000000, -38.534706
-30.000000, -40.000000, -38.501424
-30.000000, -30.000000, -35.363850
-30.000000, -20.000000, -29.279823
-30.000000, -10.000000, -20.689738
